"","Age","Gender","Marital_status","Num_comp_worked","Work_Experience","Last_salary","Salary_hike","Work_hours","Traveling_required","NoticePeriod_buyout","Job_type","Whether_comp_Possess_vehicle","Work_location","Traveltowork_distance_._time","Work_area_living_cost","Public_transport_nearby","Current_employment","Offer_letter_Processtime.week.","Bonus","Allowance","Overtime_pay","Emp_shares_scheme","Performance_incentive","Annual_leave","Medical_Family","Child_day_care","Nursing_room","Parking","Comp_size","Comp_rating","Work_life","Stresslevel"
"1",1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,3,2,3,2
"2",1,1,0,0,2,1,4,1,0,1,1,1,2,1,2,1,1,3,1,1,1,0,0,1,0,1,0,0,3,3,4,2
"3",1,0,0,0,1,3,1,0,0,0,0,1,1,1,2,0,1,2,0,0,0,0,0,1,0,0,1,0,4,3,3,4
"4",0,1,0,1,1,1,3,1,0,1,1,0,1,0,1,1,1,4,0,1,0,1,1,1,0,0,1,0,3,3,2,4
"5",1,0,1,0,2,1,1,0,1,0,0,1,1,1,2,1,1,2,0,0,0,1,1,1,0,0,0,1,4,2,1,4
"6",0,0,1,0,0,0,0,2,0,0,1,0,1,1,1,1,0,2,1,0,1,0,0,1,0,0,1,1,3,2,2,3
"7",1,1,0,0,2,4,0,0,0,0,1,1,2,1,1,1,1,2,1,0,0,0,0,1,0,0,1,0,3,4,3,3
"8",0,0,0,1,0,1,0,0,1,0,1,0,2,1,2,1,1,2,0,0,0,0,0,1,0,0,1,0,2,3,3,4
"9",2,0,0,0,1,4,0,0,1,0,0,1,2,1,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2,0,4
"10",1,1,0,0,2,4,0,0,0,0,1,1,2,1,1,1,1,2,1,0,0,0,0,1,0,0,1,0,3,4,3,3
"11",0,1,1,0,1,1,2,2,0,1,1,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,1,0,3,2,2,3
"12",0,0,0,0,2,1,4,0,1,1,1,1,2,1,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,4,3
"13",1,0,0,0,1,0,1,0,1,1,1,1,1,0,2,1,0,1,1,1,0,0,0,1,0,0,0,1,2,2,3,3
"14",0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,4,3,3
"15",0,1,0,0,0,1,1,1,0,0,1,1,2,2,2,1,1,2,0,0,0,0,0,1,0,0,0,0,2,4,3,1
"16",0,1,0,1,0,1,0,0,1,0,0,1,2,1,2,0,1,1,1,0,1,0,0,1,0,0,1,0,3,4,1,2
"17",1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,4,4,4,1
"18",1,0,0,0,1,0,1,0,1,1,1,1,1,0,2,1,0,1,1,1,0,0,0,1,0,0,0,1,2,2,3,3
"19",1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,0,1,2,1,1,0,0,0,1,0,0,1,1,4,3,4,2
"20",0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,2,2,2
"21",2,0,0,2,2,1,3,0,0,1,0,1,1,1,1,1,1,3,0,1,0,1,1,1,0,0,1,1,4,4,3,1
"22",0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,1,4,1,3,1
"23",1,1,1,0,2,1,1,0,1,0,0,1,1,1,2,1,1,2,0,0,1,0,0,1,1,0,0,1,3,2,4,4
"24",0,0,0,1,0,1,1,2,1,0,1,1,0,1,0,0,1,2,1,0,1,1,0,1,0,0,1,1,3,3,2,3
"25",1,1,0,0,2,1,4,1,0,1,1,1,2,1,2,1,1,3,1,1,1,0,0,1,0,1,0,0,3,3,4,2
"26",0,0,0,0,2,1,4,0,1,1,1,1,2,1,2,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,4,3
"27",1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,2,4
"28",0,0,0,1,0,1,1,2,1,0,1,1,0,1,0,0,1,2,1,0,1,1,0,1,0,0,1,1,3,3,2,3
"29",0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,1,0,0,1,1,4,1,3,1
"30",1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,0,1,2,1,1,0,0,0,1,0,0,1,1,4,3,4,2
"31",0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,2,3,4
"32",1,0,0,0,2,2,2,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,4,4,3,4
"33",2,1,1,1,3,2,0,0,0,0,1,1,0,2,0,1,1,2,1,0,0,0,0,1,1,0,0,1,3,3,2,3
"34",3,0,1,1,3,2,2,2,1,1,1,1,2,0,2,0,1,3,0,0,1,1,1,1,1,0,0,0,4,3,2,3
"35",1,1,0,2,2,1,0,1,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,3,0,4
"36",0,0,0,1,1,0,3,0,1,1,0,1,1,0,1,1,1,4,1,0,0,0,1,1,0,0,1,1,3,4,3,2
